code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
P7M,PREMIUM,CG,91,A,5,,JANELL JOSHUA,4-Dec-08
P7N,PREMIUM,CG,91,N,10,OVERADDITIZED,LISA WILLIAMS,25-Jan-10
P80,PREMIUM,CG,91,A,10,,SARA GLEASON,26-Sep-97
P84,PREMIUM,CG,91,N,,,SARA GLEASON,26-Sep-97
P86,PREMIUM,CG,93,N,,OVERADDITIZED,SARA GLEASON,26-Sep-97
P87,PREMIUM,CG,93,N,,OVERADDITIZED,SARA GLEASON,26-Sep-97
P88,PREMIUM,CG,93,N,,OVERADDITIZED,SARA GLEASON,26-Sep-97
P89,PREMIUM,CG,93,N,,OVERADDITIZED,SARA GLEASON,26-Sep-97
P8A,PREMIUM,CG,93,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
P8B,PREMIUM,CG,93,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
P8C,PREMIUM,CG-CBOB,91.3,A,10,FOR BLENDING WITH 10 % ETOH,RANDY ROBINSON,21-Aug-08
P8D,PREMIUM,CG-CBOB,91.3,A,10,FOR BLENDING WITH 10 % ETOH,RANDY ROBINSON,21-Aug-08
P8E,PREMIUM,CG-CBOB,91,A,10,FOR BLENDING WITH 10 % ETOH,MARGARET WARD,28-May-09
P8F,PREMIUM,CG-CBOB,91,N,,CBOB BASE FOR REQUIRED BLENDING WITH 10% ETOH,MARGARET WARD,14-Sep-09
P8G,PREMIUM,CG-CBOB,93,A,,BLEND OF PREM CBOB AND 10% ETHANOL,MARGARET WARD,14-Sep-09
P8H,PREMIUM,CG-CBOB,93,A,,BLEND OF PREM CBOB AND 10% ETHANOL,MARGARET WARD,14-Sep-09
P8I,PREMIUM,CG-CBOB,91,N,,CBOB BASE TO BE BLENDED,CANDACE DINICOLA,9-Apr-10
P8J,PREMIUM,CG-CBOB,91,N,,CBOB BASE TO BE BLENDED,CANDACE DINICOLA,9-Apr-10
P8K,PREMIUM,CG-CBOB,91,N,,CBOB BASE TO BE BLENDED,CANDACE DINICOLA,9-Apr-10
P8L,PREMIUM,CG,89,N,,SUBGRADE PREMIUM,LISA WILLIAMS,10-Jan-11
P8M,PREMIUM,CG,93,N,,LOW SULPHUR,CHRIS BULLARD,30-Apr-03
